Airport ID;Name;City;Country;IATA/FAA;ICAO;Latitude;Longitude;Altitude;Timezone;DST;Tz database time zone
21;Sault Ste Marie;Sault Sainte Marie;Canada;YAM;CYAM;46.485.001;-84.509.445;630;-5;A;America/Toronto
22;Winnipeg St Andrews;Winnipeg;Canada;YAV;CYAV;50.056.389;-970.325;760;-6;A;America/Winnipeg
23;Shearwater;Halifax;Canada;YAW;CYAW;44.639.721;-63.499.444;167;-4;A;America/Halifax
24;St Anthony;St. Anthony;Canada;YAY;CYAY;51.391.944;-56.083.056;108;-3.5;A;America/St_Johns
25;Tofino;Tofino;Canada;YAZ;CYAZ;49.082.222;-1.257.725;80;-8;A;America/Vancouver
26;Kugaaruk;Pelly Bay;Canada;YBB;CYBB;68.534.444;-89.808.056;56;-7;A;America/Edmonton
27;Baie Comeau;Baie Comeau;Canada;YBC;CYBC;491.325;-68.204.444;71;-5;A;America/Toronto
28;Bagotville;Bagotville;Canada;YBG;CYBG;48.330.555;-70.996.391;522;-5;A;America/Toronto
29;Baker Lake;Baker Lake;Canada;YBK;CYBK;64.298.889;-96.077.778;59;-6;A;America/Winnipeg
30;Campbell River;Campbell River;Canada;YBL;CYBL;49.950.832;-125.270.833;346;-8;A;America/Vancouver
31;Brandon Muni;Brandon;Canada;YBR;CYBR;49.91;-99.951.944;1343;-6;A;America/Winnipeg
32;Cambridge Bay;Cambridge Bay;Canada;YCB;CYCB;69.108.055;-105.138.333;90;-7;A;America/Edmonton
33;Nanaimo;Nanaimo;Canada;YCD;CYCD;49.052.333;-123.870.167;93;-8;A;America/Vancouver
34;Castlegar;Castlegar;Canada;YCG;CYCG;49.296.389;-1.176.325;1624;-8;A;America/Vancouver
35;Miramichi;Chatham;Canada;YCH;CYCH;47.007.778;-65.449.167;108;-4;A;America/Halifax
36;Charlo;Charlo;Canada;YCL;CYCL;47.990.833;-66.330.278;132;-4;A;America/Halifax
37;Kugluktuk;Coppermine;Canada;YCO;CYCO;67.816.667;-115.143.889;74;-7;A;America/Edmonton
38;Coronation;Coronation;Canada;YCT;CYCT;52.075.001;-111.445.278;2595;-7;A;America/Edmonton
39;Chilliwack;Chilliwack;Canada;YCW;CYCW;49.152.779;-12.193.889;32;-8;A;America/Vancouver
40;Clyde River;Clyde River;Canada;YCY;CYCY;70.486.111;-68.516.667;87;-5;A;America/Toronto
41;Fairmont Hot Springs;Coral Harbour;Canada;YZS;CYCZ;64.193.333;-83.359.444;2661;-5;A;America/Coral_Harbour
42;Dawson City;Dawson;Canada;YDA;CYDA;64.043.056;-139.127.778;1215;-8;A;America/Vancouver
43;Burwash;Burwash;Canada;YDB;CYDB;61.371.111;-139.040.556;2647;-8;A;America/Vancouver
44;Princeton;Princeton;Canada;YDC;CYDC;49.468.056;-120.511.389;2298;-8;A;America/Vancouver
45;Deer Lake;Deer Lake;Canada;YDF;CYDF;49.210.833;-57.391.388;72;-3.5;A;America/St_Johns
46;Dease Lake;Dease Lake;Canada;YDL;CYDL;58.422.222;-130.032.222;2600;-8;A;America/Vancouver
47;Dauphin Barker;Dauphin;Canada;YDN;CYDN;51.100.834;-1.000.525;999;-6;A;America/Winnipeg
